ID,TITLE,TYPE,RELEASE_YEAR,AGE_CERTIFICATION,RUNTIME,GENRE,PRODUCTION_COUNTRIES,SEASONS,IMDB_SCORE,IMDB_VOTES
ts300399,Five Came Back: The Reference Films,SHOW,1945,TV-MA,51,[documentation],[US],1,-,-
tm84618,Taxi Driver,MOVIE,1976,R,114,"[drama, crime]",[US],-,8.2,808582
tm154986,Deliverance,MOVIE,1972,R,109,"[drama, action, thriller, european]",[US],-,7.7,107673
tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,91,"[fantasy, action, comedy]",[GB],-,8.2,534486
tm120801,The Dirty Dozen,MOVIE,1967,-,150,"[war, action]","[GB, US]",-,7.7,72662
ts22164,Monty Python's Flying Circus,SHOW,1969,TV-14,30,"[comedy, european]",[GB],4,8.8,73424
tm70993,Life of Brian,MOVIE,1979,R,94,[comedy],[GB],-,8,395024
tm14873,Dirty Harry,MOVIE,1971,R,102,"[thriller, action, crime]",[US],-,7.7,155051
tm119281,Bonnie and Clyde,MOVIE,1967,R,110,"[crime, drama, action]",[US],-,7.7,112048
tm98978,The Blue Lagoon,MOVIE,1980,R,104,"[romance, action, drama]",[US],-,5.8,69844
tm44204,The Guns of Navarone,MOVIE,1961,-,158,"[action, drama, war]","[GB, US]",-,7.5,50748
tm67378,The Professionals,MOVIE,1966,PG-13,117,"[western, action, european]",[US],-,7.3,16446
tm69997,Richard Pryor: Live in Concert,MOVIE,1979,R,78,"[comedy, documentation]",[US],-,8.1,5141
tm16479,White Christmas,MOVIE,1954,-,115,"[romance, comedy]",[US],-,7.5,42488
tm135083,Cairo Station,MOVIE,1958,-,77,"[drama, crime, comedy]",[EG],-,7.5,4471
tm89386,Hitler: A Career,MOVIE,1977,PG,150,"[history, documentation, european]",[DE],-,7.5,2460
tm156453,FTA,MOVIE,1972,R,97,"[war, documentation, music, comedy]",[US],-,6.2,418
tm14350,Alexandriaâ€¦ Why?,MOVIE,1979,-,133,[drama],[EG],-,7.2,1727
tm81728,The Land,MOVIE,1969,-,129,[drama],[EG],-,8.1,1958
tm94651,Dostana,MOVIE,1980,-,161,"[drama, comedy, crime, romance, action]",[IN],-,2.1,25
tm27298,Saladin the Victorious,MOVIE,1963,-,186,"[action, drama, war, history, romance]",[EG],-,7.6,2508
tm100027,Alibaba Aur 40 Chor,MOVIE,1979,-,146,"[drama, romance, action, fantasy, family]","[SU, IN]",-,6.2,565
tm19608,The Blazing Sun,MOVIE,1954,-,100,"[crime, romance, drama]",[EG],-,7.4,1219
tm204541,Dark Waters,MOVIE,1956,-,120,"[action, drama, romance, thriller]",[EG],-,6.7,610
tm259855,We Are All for the Fatherland,MOVIE,1979,-,74,[documentation],"[LB, CA, FR]",-,6.1,47
tm356209,Singapore,MOVIE,1960,-,158,"[drama, thriller, crime]",[IN],-,6.4,84
ts45948,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,[comedy],[],1,8.1,2151
tm200475,"Beirut, Oh Beirut",MOVIE,1975,-,110,[drama],[LB],-,6.4,108
tm90896,The Return of the Prodigal Son,MOVIE,1976,-,124,"[music, drama, crime]","[DZ, EG]",-,7.2,780
tm336403,Khoon Khoon,MOVIE,1973,-,131,"[crime, thriller]",[IN],-,5.1,41
tm107372,Manoranjan,MOVIE,1974,-,162,"[romance, drama, comedy]",[IN],-,6.5,237
tm358653,Ujala,MOVIE,1959,-,142,"[romance, crime, drama]",[IN],-,6.6,78
tm259684,Whispers,MOVIE,1980,-,93,[documentation],"[CA, FR, LB]",-,7.8,78
tm403346,Chadi Jawani Budhe Nu,MOVIE,1976,-,135,[romance],[IN],-,4.6,14
tm16812,Bandie,MOVIE,1978,-,141,"[drama, action, romance]",[IN],-,4.4,35
ts20681,Seinfeld,SHOW,1989,TV-PG,24,[comedy],[US],9,8.9,308824
tm155787,GoodFellas,MOVIE,1990,R,145,"[drama, crime]",[US],-,8.7,1131681
tm22327,Full Metal Jacket,MOVIE,1987,R,117,"[war, drama]","[US, GB]",-,8.3,729274
tm180542,Once Upon a Time in America,MOVIE,1984,R,139,"[crime, drama, european]","[US, IT]",-,8.3,345714
tm138875,When Harry Met Sally...,MOVIE,1989,R,96,"[comedy, romance, drama]",[US],-,7.7,216199
tm2386,A Nightmare on Elm Street,MOVIE,1984,R,91,[horror],"[GB, US]",-,7.4,234068
tm133087,Steel Magnolias,MOVIE,1989,PG,119,"[comedy, drama, romance]",[US],-,7.3,54946
tm177480,Police Academy,MOVIE,1984,R,97,"[crime, comedy]",[US],-,6.7,124881
tm54450,Christine,MOVIE,1983,R,110,"[horror, thriller, european]",[US],-,6.7,81922
ts22082,Knight Rider,SHOW,1982,TV-PG,51,"[scifi, action, crime, drama]",[US],4,6.9,34115
ts21715,Thomas & Friends,SHOW,1984,TV-Y,10,"[animation, family, comedy, fantasy, drama, action, music]",[GB],24,6.5,5104
ts20678,Saved by the Bell,SHOW,1989,TV-G,23,"[family, comedy, romance]",[US],5,7.1,35034
tm145608,Awakenings,MOVIE,1990,PG-13,120,"[drama, european]",[US],-,7.8,139240
ts25028,Wheel of Fortune,SHOW,1983,TV-G,26,[family],[US],39,6.7,3145
tm147710,National Lampoon's Christmas Vacation,MOVIE,1989,PG-13,97,"[comedy, european]",[US],-,7.5,185760
tm142895,Lean On Me,MOVIE,1989,PG-13,105,[drama],[US],-,7.4,20680
tm20712,Eddie Murphy Raw,MOVIE,1987,R,90,"[comedy, documentation]",[US],-,7.6,19757
tm117580,She's Gotta Have It,MOVIE,1986,R,84,"[romance, comedy]",[US],-,6.7,14472
ts23753,Major Dad,SHOW,1989,TV-PG,24,"[comedy, family]",[US],4,6.5,2922
tm130586,Endless Love,MOVIE,1981,R,116,"[romance, drama]",[US],-,4.9,8524
ts987,Danger Mouse,SHOW,1981,TV-Y,14,"[animation, comedy, family, scifi, european]",[GB],10,7.4,3545
